27
1	1	171	142	16	32
1	1	220	148	16	32
1	1	331	128	16	32
1	1	470	139	16	32
-1	0	0	192	768	16
-1	0	2784	48	32	16
-1	0	1520	112	160	16
-1	0	2160	112	272	16
-1	0	2720	112	208	16
-1	0	2624	128	32	16
-1	0	1456	144	48	16
-1	0	1696	144	96	16
-1	0	2432	144	48	16
-1	0	2656	144	48	16
-1	0	2944	144	176	16
-1	0	3536	144	48	16
-1	0	3488	176	32	16
-1	0	768	208	1584	16
-1	0	2368	208	192	16
-1	0	2624	208	48	16
-1	0	2688	208	896	16
-1	0	2400	288	32	16
-1	0	2304	320	224	16
-1	0	2560	320	32	16
-1	0	2624	320	160	16
-1	0	2784	352	32	16
-1	0	2752	384	32	16
