Sprite ss
R	G	B
255	255	255	255
Animation Count
2


Name
Animation
Frame Count
24

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
0			0			256				224				0			0
259 		0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0
0			0			256				224				0			0
259			0			256				224				0			0


Name
Animation
Frame Count
11

FrameX		FrameY		FrameWidth		FrameHeight		AnchorX		AnchorY
518			0			256				224				0			0
0    		227			256				224				0			0
259 		227			256				224				0			0
518 		227			256				224				0			0
0    		454			256				224				0			0
259 		454			256				224				0			0
518 		454			256				224				0			0
0    		681			256				224				0			0
518 		454			256				224				0			0
259 		454			256				224				0			0
0    		454			256				224				0			0
